id;amount;currency;comment;owner;closed;created;due_date;user_id;contact_id
1;44568;SGD;alarm XSS Team-oriented;THEIRS;false;2020-01-18;2020-01-18;1;1
2;29315;BTN;Delaware Bhutan;THEIRS;true;2020-01-17;2020-01-18;1;2
3;31401;MGA;Generic Soft Soap;THEIRS;true;2020-01-18;2020-01-18;2;3
4;52016;CRC;Music;MINE;false;2020-01-17;2020-01-17;1;4
5;19127;SLL;Licensed Frozen Chips Handcrafted;THEIRS;true;2020-01-17;2020-01-17;2;5
6;69828;LSL;Liberia;THEIRS;false;2020-01-18;2020-01-17;2;6
7;26656;BZD;plum Tools Ball;THEIRS;false;2020-01-18;2020-01-18;1;7
8;98600;CDF;Refined Concrete Shoes;THEIRS;false;2020-01-17;2020-01-17;2;8
9;46301;CRC;California Horizontal implement;THEIRS;false;2020-01-18;2020-01-18;1;9
10;22035;CUC;application;MINE;false;2020-01-18;2020-01-18;2;10
11;44568;SGD;alarm XSS Team-oriented;THEIRS;false;2020-01-18;2020-01-18;1;1
12;29315;BTN;Delaware Bhutan;THEIRS;true;2020-01-17;2020-01-18;1;2
13;31401;MGA;Generic Soft Soap;THEIRS;true;2020-01-18;2020-01-18;2;3
14;52016;CRC;Music;MINE;false;2020-01-17;2020-01-17;1;4
15;19127;SLL;Licensed Frozen Chips Handcrafted;THEIRS;true;2020-01-17;2020-01-17;2;5
16;69828;LSL;Liberia;THEIRS;false;2020-01-18;2020-01-17;2;6
17;26656;BZD;plum Tools Ball;THEIRS;false;2020-01-18;2020-01-18;1;7
18;98600;CDF;Refined Concrete Shoes;THEIRS;false;2020-01-17;2020-01-17;2;8
19;46301;CRC;California Horizontal implement;THEIRS;false;2020-01-18;2020-01-18;1;9
20;22035;CUC;application;MINE;false;2020-01-18;2020-01-18;2;10
21;44568;SGD;alarm XSS Team-oriented;THEIRS;false;2020-01-18;2020-01-18;1;1
22;29315;BTN;Delaware Bhutan;THEIRS;true;2020-01-17;2020-01-18;1;2
23;31401;MGA;Generic Soft Soap;THEIRS;true;2020-01-18;2020-01-18;2;3
24;52016;CRC;Music;MINE;false;2020-01-17;2020-01-17;1;4
25;19127;SLL;Licensed Frozen Chips Handcrafted;THEIRS;true;2020-01-17;2020-01-17;2;5
26;69828;LSL;Liberia;THEIRS;false;2020-01-18;2020-01-17;2;6
27;26656;BZD;plum Tools Ball;THEIRS;false;2020-01-18;2020-01-18;1;7
28;98600;CDF;Refined Concrete Shoes;THEIRS;false;2020-01-17;2020-01-17;2;8
29;46301;CRC;California Horizontal implement;THEIRS;false;2020-01-18;2020-01-18;1;9
30;22035;CUC;application;MINE;false;2020-01-18;2020-01-18;2;10
31;44568;SGD;alarm XSS Team-oriented;THEIRS;false;2020-01-18;2020-01-18;1;1
32;29315;BTN;Delaware Bhutan;THEIRS;true;2020-01-17;2020-01-18;1;2
33;31401;MGA;Generic Soft Soap;THEIRS;true;2020-01-18;2020-01-18;2;3
34;52016;CRC;Music;MINE;false;2020-01-17;2020-01-17;1;4
35;19127;SLL;Licensed Frozen Chips Handcrafted;THEIRS;true;2020-01-17;2020-01-17;2;5
36;69828;LSL;Liberia;THEIRS;false;2020-01-18;2020-01-17;2;6
37;26656;BZD;plum Tools Ball;THEIRS;false;2020-01-18;2020-01-18;1;7
38;98600;CDF;Refined Concrete Shoes;THEIRS;false;2020-01-17;2020-01-17;2;8
39;46301;CRC;California Horizontal implement;THEIRS;false;2020-01-18;2020-01-18;1;9
40;22035;CUC;application;MINE;false;2020-01-18;2020-01-18;2;10
41;44568;SGD;alarm XSS Team-oriented;THEIRS;false;2020-01-18;2020-01-18;1;1
42;29315;BTN;Delaware Bhutan;THEIRS;true;2020-01-17;2020-01-18;1;2
43;31401;MGA;Generic Soft Soap;THEIRS;true;2020-01-18;2020-01-18;2;3
44;52016;CRC;Music;MINE;false;2020-01-17;2020-01-17;1;4
45;19127;SLL;Licensed Frozen Chips Handcrafted;THEIRS;true;2020-01-17;2020-01-17;2;5
46;69828;LSL;Liberia;THEIRS;false;2020-01-18;2020-01-17;2;6
47;26656;BZD;plum Tools Ball;THEIRS;false;2020-01-18;2020-01-18;1;7
48;98600;CDF;Refined Concrete Shoes;THEIRS;false;2020-01-17;2020-01-17;2;8
49;46301;CRC;California Horizontal implement;THEIRS;false;2020-01-18;2020-01-18;1;9
50;22035;CUC;application;MINE;false;2020-01-18;2020-01-18;2;10
